Empresa;Departamento;Municipio;Número único de identificación del sistema de tratamiento (NUPTAR);Caudal medio anual a la entrada (L/S);Caudal medio anual a la salida (LTS/SG);pH Unidades;Temperatura (°C);Sóidos Totales (mg/litro);DBO (Kg/Día);DQO (Kg/Día;Fecha de cargue;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;SANTA ROSA DE OSOS;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;TITIRIBI;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;VENECIA;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;2342;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;2343;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;2344;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;2345;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;8160;14.4;14.4;7.16;21.8;481;103.2;267;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;8161;6.22;6.22;7.65;29.6;857;130;328;21-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;8162;5.83;5.83;8.25;29.8;571;31.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;8163;1.94;1.94;6.68;16.5;225;146.6;242;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;8164;17.7;17.7;6.99;19.2;537;170.9;364;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;8165;10.02;9.837;7.13;17.3;302;76.7;136;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;8166;0.47;0.47;7;21.2;365;142;274;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;8167;0.42;0.42;7;21.6;541;102.7;383;20-mar-25;;
ACUEDUCTOS Y ALCANTARILLADOS SOSTENIBLES A.A.S. S.A.  E.S.P.;ANTIOQUIA;YALI;8168;3.54;3.54;6.93;23.8;259;30.9;104;20-mar-25;;
ADMINISTRACION PUBLICA COOPERATIVA EMPRESA DE SERVICIOS PUBLICOS DEL RIO E.S.P.;MAGDALENA;EL PIÑON;1382;5.965;0;0;0;0;0;0;10-feb-25;;
ADMINISTRACION PUBLICA COOPERATIVA EMPRESA DE SERVICIOS PUBLICOS DEL RIO E.S.P.;MAGDALENA;EL PIÑON;1383;3.753;9;0;0;0;0;0;10-feb-25;;
ADMINISTRACION PUBLICA COOPERATIVA EMPRESA DE SERVICIOS PUBLICOS DEL RIO E.S.P.;MAGDALENA;SALAMINA;1382;5.965;0;0;0;0;0;0;10-feb-25;;
ADMINISTRACION PUBLICA COOPERATIVA EMPRESA DE SERVICIOS PUBLICOS DEL RIO E.S.P.;MAGDALENA;SALAMINA;1383;3.753;9;0;0;0;0;0;10-feb-25;;
ADMINISTRACION PUBLICA COOPERATIVA EMPRESA SOLIDARIA DE SERVICIOS PUBLICOS DEL MUNICIPIO DE SAN MIGUEL DE SEMA;BOYACA;SAN MIGUEL DE SEMA;1842;0.4;7;0;0;0;0;0;24-APR-25;;
AGUA DE LOS PATIOS S.A. E.S.P.;NORTE DE SANTANDER;LOS PATIOS;1742;18.952;16.223;7.278;30.569;63.25;34;93.285;21-may-25;;
AGUAS DE  LA SABANA DE BOGOTA S.A.  E.S.P.;CUNDINAMARCA;COTA;4465;36.25;36.25;7.275;21.1;7.5;15.45;24.45;31-jul-25;;
AGUAS DE  LA SABANA DE BOGOTA S.A.  E.S.P.;CUNDINAMARCA;COTA;8219;36.25;36.25;7.275;21.1;7.5;15.45;24.45;31-jul-25;;
AGUAS DE  LA SABANA DE BOGOTA S.A.  E.S.P.;CUNDINAMARCA;FUNZA;4465;36.25;36.25;7.275;21.1;7.5;15.45;24.45;31-jul-25;;
AGUAS DE  LA SABANA DE BOGOTA S.A.  E.S.P.;CUNDINAMARCA;FUNZA;8219;36.25;36.25;7.275;21.1;7.5;15.45;24.45;31-jul-25;;
AGUAS DE  LA SABANA DE BOGOTA S.A.  E.S.P.;CUNDINAMARCA;TENJO;4465;36.25;36.25;7.275;21.1;7.5;15.45;24.45;31-jul-25;;
AGUAS DE  LA SABANA DE BOGOTA S.A.  E.S.P.;CUNDINAMARCA;TENJO;8219;36.25;36.25;7.275;21.1;7.5;15.45;24.45;31-jul-25;;
AGUAS DE BARRANCABERMEJA S.A. E.S.P;SANTANDER;BARRANCABERMEJA;981;0.95;0.86;6.8;30;61.3;66;142;21-mar-25;;
AGUAS DE BARRANCABERMEJA S.A. E.S.P;SANTANDER;BARRANCABERMEJA;984;0.77;0.57;7;31;26.2;72;156;21-mar-25;;
AGUAS DE CARTAGENA S.A.  E.S.P.;BOLIVAR;CARTAGENA;3482;1380.417;1380.417;8.233;30.15;16.192;1.708;0;16-mar-25;;
AGUAS DE LA PENINSULA S.A E.S.P.;LA GUAJIRA;MAICAO;861;94;41;8.245;32.525;68.5;170.425;286;15-mar-25;;
AGUAS DE LA SABANA S.A. E.S.P.;BOLIVAR;MAGANGUE;5305;17;16.65;7.28;26.75;59.6;67.5;141.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;BOLIVAR;MAGANGUE;5306;14.16;14.265;7.625;27.25;51.25;67.5;154.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;BOLIVAR;MAGANGUE;7259;578.917;575.917;7.692;26.158;40.558;61.283;132.083;20-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;CORDOBA;CHINU;5305;17;16.65;7.28;26.75;59.6;67.5;141.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;CORDOBA;CHINU;5306;14.16;14.265;7.625;27.25;51.25;67.5;154.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;CORDOBA;CHINU;7259;578.917;575.917;7.692;26.158;40.558;61.283;132.083;20-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;SUCRE;COROZAL;5305;17;16.65;7.28;26.75;59.6;67.5;141.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;SUCRE;COROZAL;5306;14.16;14.265;7.625;27.25;51.25;67.5;154.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;SUCRE;COROZAL;7259;578.917;575.917;7.692;26.158;40.558;61.283;132.083;20-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;SUCRE;SINCE;5305;17;16.65;7.28;26.75;59.6;67.5;141.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;SUCRE;SINCE;5306;14.16;14.265;7.625;27.25;51.25;67.5;154.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;SUCRE;SINCE;7259;578.917;575.917;7.692;26.158;40.558;61.283;132.083;20-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;SUCRE;SINCELEJO;5305;17;16.65;7.28;26.75;59.6;67.5;141.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;SUCRE;SINCELEJO;5306;14.16;14.265;7.625;27.25;51.25;67.5;154.5;24-JAN-25;;
AGUAS DE LA SABANA S.A. E.S.P.;SUCRE;SINCELEJO;7259;578.917;575.917;7.692;26.158;40.558;61.283;132.083;20-JAN-25;;
AGUAS DE MALAMBO S.A. E.S.P.;ATLANTICO;MALAMBO;8259;251.429;251.429;7.586;30.857;20.429;26.314;82;3-jul-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;CAMPO DE LA CRUZ;6259;13.2;13.2;7.78;30.83;39.08;95.71;183.67;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;CAMPO DE LA CRUZ;6260;9.2;9.2;8.275;30.34;34.92;80.695;141.75;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;CANDELARIA;6259;13.2;13.2;7.78;30.83;39.08;95.71;183.67;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;CANDELARIA;6260;9.2;9.2;8.275;30.34;34.92;80.695;141.75;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;LURUACO;6259;13.2;13.2;7.78;30.83;39.08;95.71;183.67;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;LURUACO;6260;9.2;9.2;8.275;30.34;34.92;80.695;141.75;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;MANATI;6259;13.2;13.2;7.78;30.83;39.08;95.71;183.67;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;MANATI;6260;9.2;9.2;8.275;30.34;34.92;80.695;141.75;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;REPELON;6259;13.2;13.2;7.78;30.83;39.08;95.71;183.67;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;REPELON;6260;9.2;9.2;8.275;30.34;34.92;80.695;141.75;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;SANTA LUCIA;6259;13.2;13.2;7.78;30.83;39.08;95.71;183.67;5-feb-25;;
AGUAS DEL SUR DEL ATLANTICO S.A. E.S.P;ATLANTICO;SANTA LUCIA;6260;9.2;9.2;8.275;30.34;34.92;80.695;141.75;5-feb-25;;
AGUAS NACIONALES EPM S.A E.S.P.;ANTIOQUIA;BELLO;6719;3393.333;3352.333;7.657;27;0;23.299;74.874;31-JAN-25;;
AGUAS NACIONALES EPM S.A E.S.P.;ANTIOQUIA;MEDELLIN;6719;3393.333;3352.333;7.657;27;0;23.299;74.874;31-JAN-25;;
AGUAS NACIONALES EPM S.A E.S.P.;CHOCO;QUIBDO;6719;3393.333;3352.333;7.657;27;0;23.299;74.874;31-JAN-25;;
AGUAS NACIONALES EPM S.A E.S.P.;D.C.;BOGOTA;6719;3393.333;3352.333;7.657;27;0;23.299;74.874;31-JAN-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;ANTIOQUIA;341;39;12;7.31;30.7;15;189.65;243;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;ANTIOQUIA;5505;50.895;36.815;7.445;27.368;34;61.605;231;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;APARTADO;341;39;12;7.31;30.7;15;189.65;243;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;APARTADO;5505;50.895;36.815;7.445;27.368;34;61.605;231;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;CAREPA;341;39;12;7.31;30.7;15;189.65;243;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;CAREPA;5505;50.895;36.815;7.445;27.368;34;61.605;231;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;CHIGORODO;341;39;12;7.31;30.7;15;189.65;243;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;CHIGORODO;5505;50.895;36.815;7.445;27.368;34;61.605;231;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;MUTATA;341;39;12;7.31;30.7;15;189.65;243;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;MUTATA;5505;50.895;36.815;7.445;27.368;34;61.605;231;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;OLAYA;341;39;12;7.31;30.7;15;189.65;243;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;OLAYA;5505;50.895;36.815;7.445;27.368;34;61.605;231;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;SAN JERONIMO;341;39;12;7.31;30.7;15;189.65;243;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;SAN JERONIMO;5505;50.895;36.815;7.445;27.368;34;61.605;231;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;SOPETRAN;341;39;12;7.31;30.7;15;189.65;243;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;SOPETRAN;5505;50.895;36.815;7.445;27.368;34;61.605;231;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;TURBO;341;39;12;7.31;30.7;15;189.65;243;31-mar-25;;
AGUAS REGIONALES EPM S.A E.S.P;ANTIOQUIA;TURBO;5505;50.895;36.815;7.445;27.368;34;61.605;231;31-mar-25;;
AGUAS Y AMBIENTE LA FONTANA DEL LLANO SAS ESP;META;VILLAVICENCIO;4545;0.157;0.63;7.06;27.3;20;0.965;20;20-feb-25;;
AGUAS Y ASEO DE SUBACHOQUE S.A E.S.P;CUNDINAMARCA;SUBACHOQUE;5385;6.264;4.653;7.71;18.48;100.667;175.5;307.333;21-jul-25;;
AGUAS Y ASEO DE SUBACHOQUE S.A E.S.P;CUNDINAMARCA;SUBACHOQUE;5386;10.758;9.148;7.71;18.48;100.667;175.5;307.333;02-AUG-25;;
ALIAT SERVICIOS S.A.S ESP;BOLIVAR;CARTAGENA;8319;0;2.17;6.89;32;0;10.51;103.44;10-AUG-25;;
ALIAT SERVICIOS S.A.S ESP;BOLIVAR;CARTAGENA;8320;0;1.92;7.13;31.2;0;0;0;10-AUG-25;;
ALIAT SERVICIOS S.A.S ESP;BOLIVAR;CARTAGENA;8321;0;7.03;0;0;0;0;0;10-AUG-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CERETE;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CHIMA;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;CIENAGA DE ORO;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;LORICA;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
